Municipio,latitude,longitude
Turvo,"-25,01208046","-51,48057418"
Ubiratã,"-24,5049417","-53,0217896"
Umuarama,"-23,67976828","-53,4141418"
União Da Vitória,"-26,10934584","-51,07491617"
Uniflor,"-23,06706042","-52,1092031"
Uraí,"-23,21633041","-50,82994919"
Wenceslau Braz,"-23,85509441","-49,78450268"
Ventania,"-24,18985862","-50,23987308"
Vera Cruz Do Oeste,"-25,00738937","-53,92043174"
Verê,"-25,87506623","-52,95844777"
Alto Paraíso,"-23,53885673","-53,82464275"
Doutor Ulysses,"-24,62636162","-49,39293625"
Virmond,"-25,41030248","-52,23684618"
Vitorino,"-26,28129336","-52,80771833"
Xambrê,"-23,73573476","-53,59192771"
